TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,2
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,2
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,2
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
uk.ac.sheffield.com1003.cafe.exceptions.TooManyIngredientsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
